# Simulation 1 (Up to date)
# 246 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-8.8143,0,8.8143,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,268.07,21.092,0.010517,1.6088e-4,NaN,342.94,NaN,0.0066622,106548,0.26214,0,0.50393,0,0.39127,0.013481,0.099178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,55,23.758,90,0,NaN,15,101325,340.39,0.01,0.0020704
0.01,0,0,-6.8585,0,6.8585,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,268.07,21.092,0.010517,1.6088e-4,NaN,342.94,NaN,0.0066553,106437,0.78643,0,0.50404,0,0.39138,0.013481,0.099178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,55,23.758,90,0,NaN,15,101325,340.39,0.01,0.0028339
0.02,0,0,-4.9025,0,4.9025,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,268.06,21.076,0.010515,1.6088e-4,NaN,342.92,NaN,0.0066484,106327,1.3107,0,0.50414,0,0.39148,0.013481,0.099178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,55,23.758,90,0,NaN,15,101325,340.39,0.01,0.0032219
0.03,0,0,-2.9462,0,2.9462,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,268.04,21.06,0.010513,1.6088e-4,NaN,342.9,NaN,0.0066415,106217,1.835,0,0.50424,0,0.39158,0.013481,0.099178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,55,23.758,90,0,NaN,15,101325,340.39,0.01,0.0035818
0.04,0,0,-0.98054,0,0.98054,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,268.03,21.044,0.010512,1.6088e-4,NaN,342.88,NaN,0.0066346,106106,2.3617,0,0.50435,0,0.39169,0.013481,0.099178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,55,23.758,90,0,NaN,15,101325,340.39,0.01,0.0039747
0.05,0,0,2.0656,0,2.0656,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,268.01,21.025,0.01051,1.6088e-4,NaN,342.86,NaN,0.0066277,105996,3.178,0,0.50445,0,0.39179,0.013481,0.099178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,55,23.758,90,0,NaN,15,101325,340.39,0.01,0.004415
0.06,1.0335e-4,0.020674,5.8554,0.020674,5.8554,0,0,0,0,0,0,28.61,-80.6,9.7922,89.464,0,0,0,267.96,20.976,0.010505,1.6088e-4,NaN,342.8,NaN,0.0064876,103756,4.1929,7.3757e-9,0.5066,1.0394e-6,0.39394,0.013481,0.099178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.647e-6,55,23.758,90,0,NaN,15,101325,340.39,0.01,0.0047567
0.07,6.03e-4,0.079264,9.6484,0.079264,9.6484,0,0,0,0,0,0,28.61,-80.6,9.7922,87.899,0,0,0,267.88,20.901,0.010497,1.6087e-4,NaN,342.71,NaN,0.0063512,101574,5.2078,4.1979e-7,0.50875,6.1723e-5,0.39609,0.013481,0.099178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0149e-5,55,23.758,90,0,NaN,15,101325,340.39,0.01,0.005687
0.08,0.0018782,0.17579,13.444,0.17579,13.444,0,0,0,0,0,0,28.61,-80.6,9.7922,85.243,0,0,0,267.81,20.827,0.01049,1.6086e-4,NaN,342.62,NaN,0.006228,99604,6.2227,4.5703e-6,0.51074,6.9883e-4,0.39809,0.013481,0.099178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2508e-5,55,23.758,90,0,NaN,15,101325,340.39,0.01,0.00607
0.09,0.0043086,0.31028,17.241,0.31028,17.241,0,0,0,0,0,0,28.61,-80.6,9.7922,81.454,0,0,0,267.73,20.752,0.010482,1.6086e-4,NaN,342.54,NaN,0.0061343,98105,7.2377,2.4735e-5,0.5123,0.0038986,0.39964,0.013481,0.099178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9727e-5,55,23.758,90,0,NaN,15,101325,340.39,0.01,0.0064544
